"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Playland+Amusement+Park/data=!4m7!3m6!1s0x182f11c92f125a51:0x5efee92f3966d708!8m2!3d-1.3237716!4d36.8440371!16s%2Fg%2F11h56w3hj9!19sChIJUVoSL8kRLxgRCNdmOS_p_l4?authuser=0&hl=en&rclk=1","Playland Amusement Park","4.3","(451)","Amusement park","·","","·","Nextgen mall, Mombasa Road","Closed","· Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepqlB3CdK4ADyHBxRzIfOzdLphdKeYUbd38t6lU-Lni1inB_8Ymy0MUFfj2wNTqfQ7zvzNBLChB0YrOzZ-uOrB466bAirbt4E0Wwa2Zrl0wXwj2TieZIwS2fAkNVvnId0wEdznokA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Virtual","games",", slides, trampolines and quick snacks 🍩  on offer...""","","","","","","",""
"https://www.google.com/maps/place/The+Hub+Park/data=!4m7!3m6!1s0x2202d65c8c6a1dd:0x2531ce62f8ef73c5!8m2!3d-1.3198739!4d36.7040752!16s%2Fg%2F11w9057ryy!19sChIJ3aHGyGUtIAIRxXPv-GLOMSU?authuser=0&hl=en&rclk=1","The Hub Park","4.8","(921)","Amusement center","·","","·","The hub, Dagoretti Rd","Closed","· Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoRQTFLVfKhxqle3W_q0CeTYV-caI_3ZgbBYPCHDFcIBA3K3QSqPk89vqbJrEFL_26Qmx_pxT97E7Y1EZubV8snkHLXJBejzdhCZef3LKTyvor3ybUKg-kLAKc5J9gNdfkkv7eoEdHe5M1Z=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They bounced in trampoline park,obstacle courses and much more.""","","","","","","","","",""
"https://www.google.com/maps/place/Paradise+Lost,+Kiambu/data=!4m7!3m6!1s0x182f3daaf743f58f:0x39d71e56621526e1!8m2!3d-1.1914503!4d36.8271375!16s%2Fg%2F113dpmrmn!19sChIJj_VD96o9LxgR4SYVYlYe1zk?authuser=0&hl=en&rclk=1","Paradise Lost, Kiambu","4.3","(1,248)","Picnic ground","·","","·","Kiambu road Glory road Paradise lost road","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerduvr03CeJAtzMGlYslVSlWgUSKzneGI4ghP_sOHPhWYEM5YHjagcmFF0le4UZC6xy9KzEXtUUPC8XG4-II6KqPAtuO5cA2c1u6VcuSW71fJF2Qpxv9eWLgzl97XbZY90zoG2F=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""zip lining, boat ride, and nature trail.""","","","","","","","","",""
"https://www.google.com/maps/place/Afro+Sayari+-+Ruai+Bypass/data=!4m7!3m6!1s0x182f6af159c3e9b3:0x58b0404ccc4f1416!8m2!3d-1.2342568!4d36.9911257!16s%2Fg%2F11c52_q8c0!19sChIJs-nDWfFqLxgRFhRPzExAsFg?authuser=0&hl=en&rclk=1","Afro Sayari - Ruai Bypass","4.2","(5,007)","Theme park","·","","·","Eastern Bypass","Open","· Closes 11:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepiC_AiM2ueHBHsg21uUFwY_ZywS3Xb_K5dO_-RFUBJ-yA6TZ_5UFCzNAVkuos6JUI-77lTgjRutd3TsE41sLCSZpXxaX2SL1oxANprMBT82fpq77AWM5J9ORMGD4GgHHo0RYQr=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""There is bouncing castles and cars for children to ride,  swimming pool.""","","","","","","","","",""
"https://www.google.com/maps/place/Giraffe+Centre/data=!4m7!3m6!1s0x182f05a9a4e927d3:0xe161fe0b53c6351f!8m2!3d-1.3763639!4d36.7443169!16zL20vMDltOTBq!19sChIJ0yfppKkFLxgRHzXGUwv-YeE?authuser=0&hl=en&rclk=1","Giraffe Centre","4.6","(17,057)","Tourist attraction","·","","·","Duma Rd","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbp5vrhfPPFMyuihxetxwmtGI2UHFfgHXYpY1_k3LNGE-FPpXrRPvwXUo_7yUS0UiDm-CYI8u2uebfirQapyS0Ot4lqa-IjYWkwdv14CFJ0DtiJd7IHVb5QN2Kwt_PmxalaL8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Went here with 3 adults, 6 kids and a toddler and it was so much","fun",".""","Rescue center for giraffes & nature park","","","","","",""
"https://www.google.com/maps/place/Nairobi+National+Park/data=!4m7!3m6!1s0x182f0fbbde36bc45:0x6f9671d1966870ec!8m2!3d-1.3824923!4d36.86102!16zL20vMDQ1d3pi!19sChIJRbw23rsPLxgR7HBoltFxlm8?authuser=0&hl=en&rclk=1","Nairobi National Park","4.5","(11,241)","Tourist attraction","·","","Safaris amid lions, leopards & giraffes","","Closed","· Opens 6 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLFGiiaE4w1NldvFzAKkL4W_5KaEBXEO9BOuCSM9Xm49ZlNTznTjKFDjf79TwU-MEJTMDTOItxtZNRSapdClqavLmw3qFpA9btk_P1QwgJINXLp4mIRA281uDzieOzen2eLV0n=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It was","fun","enjoyable the surrounding was superb the fee was fair enough""","","","","","","",""
"https://www.google.com/maps/place/Escape+Room+Kenya/data=!4m7!3m6!1s0x182f1b65b4ebceaf:0xed4177ba1dda9b09!8m2!3d-1.329988!4d36.6803992!16s%2Fg%2F11c2k98619!19sChIJr87rtGUbLxgRCZvaHbp3Qe0?authuser=0&hl=en&rclk=1","Escape Room Kenya","4.6","(189)","Escape room center","·","","·","Ngong Rd","Closed","· Opens 11 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerk60BACWAf9WqVzTs86Bh1xYCWfHPHkIo-iMsD7ecIyb7pMnHK-_C468Yc8i9nLCr09njY-LuUMMUaGjupVsAeHQIV7VkRlAohYzgRbFtXjAQCNT4dSfQNN3PvrrcCCIrVRT1ovg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent design,","interesting","puzzles, helpful staff!""","","","","","","",""
"https://www.google.com/maps/place/Funcity+Gardens+Utawala/data=!4m7!3m6!1s0x182f6b5ebb676e43:0x4b01910e28e7331a!8m2!3d-1.2739634!4d36.9707537!16s%2Fg%2F11cn9skd56!19sChIJQ25nu15rLxgRGjPnKA6RAUs?authuser=0&hl=en&rclk=1","Funcity Gardens Utawala","4.2","(3,951)","Recreation center","·","","·","PXGC+6PM, Utawala","Closed","· Opens 6:30 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqVd0rGfQhbgHdTInSJVN7HJe4zps3IJaZotHeBjAn-QT1xhTFgUf8Wx6lmlU1UZYLZaPiq7zvkj3ZlM7eydyforNvnzG2Mng_BoIjTlfAe6M11gjG0u4HaYCV7g5D4ZzW2GeQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The children's playing floor has fantastic","games","and very helpful staffs.""","","","","","","",""
"https://www.google.com/maps/place/Magic+Planet/data=!4m7!3m6!1s0x182f3d44d1c1b8af:0xefa229db75ebd5b9!8m2!3d-1.2099065!4d36.7960181!16s%2Fg%2F11hcqbt2w8!19sChIJr7jB0UQ9LxgRudXrddspou8?authuser=0&hl=en&rclk=1","Magic Planet","4.5","(181)","Amusement center","·","","·","level -2, Two Rivers Mall","Closes soon","· 9 PM · Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoajbu_Mns6FwWUPGGSC6qh2eiT3D2uGS-QNTNHIA-O2LJNxbPb_h1buMfAyjLVMb0gNYmCVk_kX3tMLxJMMBiaioTLDApawfyBe4I6eVVQJ65ulmyAocaqx_Zlp6US-dJ1n7XF=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A scenic place with a beehive of amusement and play items.""","","","","","","","","",""
"https://www.google.com/maps/place/Njine+Kabia+Falls/data=!4m7!3m6!1s0x1828810ab259498d:0x22bb5c956876fe46!8m2!3d-0.4942093!4d37.2950597!16s%2Fg%2F11k4fvfg29!19sChIJjUlZsgqBKBgRRv52aJVcuyI?authuser=0&hl=en&rclk=1","Njine Kabia Falls","4.4","(137)","Outdoor activity organiser","","","","","Closes soon","· 9 PM · Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMhgaJ_XBj2udzvXUO-j8wxcPeOH5_jXCXc43xsFIzoRq7abTsN2Mm2iU5zZze_CaMpcKkyfkKB4hDsTDC5TT2Vlg3R1sdIZ0mGtxHQ2y-ckIj7C3RlfdzPawUXDjAxP6wU8w=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beautiful scenery,","fun games",", friendly staff, tasty food 👌🏽""","","","","","","",""
"https://www.google.com/maps/place/Under+The+Sea/data=!4m7!3m6!1s0x182f1712a16dcd69:0x1ddd3e8aab0f7a68!8m2!3d-1.2305786!4d36.8042971!16s%2Fg%2F11fj3fk1j6!19sChIJac1toRIXLxgRaHoPq4o-3R0?authuser=0&hl=en&rclk=1","Under The Sea","4.1","(167)","Indoor playground","·","","·","Limuru Rd","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-0X_Y_VjNQ0-9Bab9dkczTvcl-65wVxK-3bEQA5YtSeXg1gfjBQ9P8RG1JFkOrEE87HETuC-zs80CNMmQyUH7Pf13UgB5GqIIjcFhlNQDLjvFbyy5GWb1vHChkLZidPgZD8UZVw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cool kids destination with lots of kids","games",", maze, Slides,""","","","","","","",""
"https://www.google.com/maps/place/Kids+Fun+Activities+Nairobi/data=!4m7!3m6!1s0x182f1b531cb353e9:0x252042b7259a94c9!8m2!3d-1.298515!4d36.7619412!16s%2Fg%2F11s5xls0yn!19sChIJ6VOzHFMbLxgRyZSaJbdCICU?authuser=0&hl=en&rclk=1","Kids Fun Activities Nairobi","4.8","(4)","Children's party service","·","","·","Junction Mall","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKNsViF2UbGUhmUv17zvyL0r2Pb4t8CCijHk5owrXRTYz_ujskZymcFEXyGqw4dKJvtu3c2G-sKD_5CwC-NXSwo2I0gixIikZIEzofdTkqrDvWst0CGlAmmaA0KTeolFDhenqt6lfztqYR=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kids","Fun Activities","added a special touch to our event.""","","","","","","",""
"https://www.google.com/maps/place/funland+amusement+park/data=!4m7!3m6!1s0x182fa1428091ac69:0x81563e2b585813ff!8m2!3d-1.5221983!4d36.9459551!16s%2Fg%2F11lkyx9vtm!19sChIJaayRgEKhLxgR_xNYWCs-VoE?authuser=0&hl=en&rclk=1","funland amusement park","4.3","(47)","Amusement center","·","","·","kajiado kitengela","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDflaWMFHJ5f90WtTYoxtZQ7hQnqeauasi2HUl8MnGmzMByyhiZzf7RSjPSp61sFlkOgXoSC6DPVp6WKx2Z7V-RzfpqDe8NLKMPGgIreUiWzajSbtMn0L4sDPAHV29F_gQ_YI=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""@Ksh.600 your kid can play all available facilities including slings.""","","","","","","","","",""
"https://www.google.com/maps/place/Jump+by+Flying+Fox/data=!4m7!3m6!1s0x182f1b58ca40b939:0xfda6ad693ad17aef!8m2!3d-1.3204674!4d36.7038567!16s%2Fg%2F11srbk3lt1!19sChIJOblAylgbLxgR73rROmmtpv0?authuser=0&hl=en&rclk=1","Jump by Flying Fox","4.8","(94)","Adventure sports center","·","","·","The Hub, Jump by Flying Fox, 09 Langata Rd","Closed","· Opens 12 PM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqvsMRtDm4Mpnyi86h_8D_ZtXv4apjxPStHS0nJl6NBDauG5zRO7hzo9f80V6WDgrqUB2lT59xHNeo97cvSATqGjMObuun4A9Jw5r25iWD0rSkcKqFCcLrIqcqEsMfd0QaTx98Zlg=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I had so much","fun","and the instructors were so friendly and extremely patient""","","","","","","",""
"https://www.google.com/maps/place/Snake+Park/data=!4m7!3m6!1s0x182f17b73f48679b:0x22bc705d4c50320a!8m2!3d-1.2746661!4d36.8148014!16s%2Fg%2F11jgm2z_mx!19sChIJm2dIP7cXLxgRCjJQTF1wvCI?authuser=0&hl=en&rclk=1","Snake Park","4.3","(1,439)","Zoo","·","","·","Prof. Wangari Maathai Rd","Closed","· Opens 8:30 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoB1uDfrf53MxAV0jTu2dtw9uIn-wiTYB96WP7JBYfam2UJWkB_quZ_msAefNn5vQBVnWlDJu_i4oLhNjYWsR7hePFmmLyZaQURC7ar33Cx6n9et1npHe0CoxP1lKqIwUG6jdVz=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""You can get a guide to lead you on or you can explore on your own.""","","","Animal attraction with reptiles galore","","","","","",""
"https://www.google.com/maps/place/The+Forest+Adventure+Centre+and+Restaurant/data=!4m7!3m6!1s0x1828d85790d697a5:0x7aa1728d4d9b32d8!8m2!3d-0.9573989!4d36.6545587!16s%2Fg%2F11c58q86v2!19sChIJpZfWkFfYKBgR2DKbTY1yoXo?authuser=0&hl=en&rclk=1","The Forest Adventure Centre and Restaurant","4.7","(2,970)","Adventure sports center","·","","·","Kimende Kimende KE","Closed","· Opens 8:30 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-ppfavjud9qFQq9A3-Lc2wupSqjdVCI_QWjzmWX8dr6e5BkU76T5bWEeI16gOjL1zP6ZYaT2P76tgh2BrEQjAtN5xcT0e4KI8OdCp0vPJfMkKK-SUtIgBUjH4e4FNfhIXrQ=w162-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Plenty of","activities","to choose from from all ages at a reasonable price""","","","","","","",""
"https://www.google.com/maps/place/THE+JUNGLE+Sarit+Centre/data=!4m7!3m6!1s0x182f173b4178ad01:0x3513aac933467782!8m2!3d-1.261176!4d36.8022989!16s%2Fg%2F11qg4kvwgt!19sChIJAa14QTsXLxgRgndGM8mqEzU?authuser=0&hl=en&rclk=1","THE JUNGLE Sarit Centre","4.0","(30)","Children's amusement center","·","","·","Sarit Centre, Karuna Rd","Closes soon","· 9 PM · Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwer29ZhI6UqWtFQqOGXtRb2azam3isp__RLkKCRwd0BaMIphBm4MfCy2lWAnLHgc_ZHJGPgm6WBhHvUlT-79OuHwa9qxgVzYJslaoDOQ38hzOI6OHs7i5zcyKK8Lpeg33X5Q1MYh-w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""An amazing place for kids to play while you busy yourself at the Sarit mall.""","","","","","","","","",""
"https://www.google.com/maps/place/Adventures+In+Kenya+-+Adventure+Escapades/data=!4m7!3m6!1s0x182f170dbbd7be6d:0x7b25efdb95261db4!8m2!3d-1.251571!4d36.756682!16s%2Fg%2F11ry9dj7zz!19sChIJbb7Xuw0XLxgRtB0mldvvJXs?authuser=0&hl=en&rclk=1","Adventures In Kenya - Adventure Escapades","5.0","(14)","Outdoor activity organiser","·","","Loresho, Loresho Grove","","Closed","· Opens 7:30 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq0NR_Hm2brju1X7kZqL-NQc-GJKuBhSi8OgD8uD5f3Fv75-5nUULohUUywu5QMgxnXj2LnMkCZOpTSLbUpzgD6lvT2tX4_uRB9MhZAhCr6YCRw5ArYJ3xdn9akmwzxsJYO2A-F=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Had a fantastic experience with Adventure Escapades.""","","","","","","","","",""
"https://www.google.com/maps/place/Ozone+Trampoline+Park/data=!4m7!3m6!1s0x182f17ec10a2f96d:0x741044b88dd1de71!8m2!3d-1.2300637!4d36.8044259!16s%2Fg%2F11fj3fmydg!19sChIJbfmiEOwXLxgRcd7RjbhEEHQ?authuser=0&hl=en&rclk=1","Ozone Trampoline Park","4.5","(231)","Recreation center","·","","·","Limuru Rd","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwept2VKGDS51pvddJni9r8iHzgcxC4H-fAKQzANeBBmxr1ty2Qw1CaarRhvdtX1QKy-9iEvuxf4D9vJvSbtaRQkkN3Ymxj3NDxEogfAogs_e0Rdvn0eF5QSW_RCKziig_LTMg__m=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It's a zone on it's on zone ozone place for kids to enjoy their energy""","","","","","","","","",""
"https://www.google.com/maps/place/Gameworks+Kenya+Entertainment/data=!4m7!3m6!1s0x182f3c5692f676c9:0x63df7674799778c7!8m2!3d-1.1817314!4d36.828498!16s%2Fg%2F11fx8zrks1!19sChIJyXb2klY8LxgRx3iXeXR232M?authuser=0&hl=en&rclk=1","Gameworks Kenya Entertainment","4.1","(140)","Recreation center","·","","·","RR9H+895","Closed","· Opens 6 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweraDUqILi2T9MHmIqWKMedfLuG2eRt169kiiTP02xo9au5qh6p_s80q_-KknYvvTz81EII7HOA2UevLBMcKBT36jJD4dhT9yfZMdcx6faqy0wWUS1rNYbFUSFvpXhTiQPGkaIj-=w122-h92-k-no","","","","","","","","","","",""
"https://www.google.com/maps/place/Kids+Arena+-+Diamond+plaza+II/data=!4m7!3m6!1s0x182f1712c11fdcc3:0x32083b66c9dae2e!8m2!3d-1.258376!4d36.8192642!16s%2Fg%2F11lbdh67m1!19sChIJw9wfwRIXLxgRLq6dbLaDIAM?authuser=0&hl=en&rclk=1","Kids Arena - Diamond plaza II","4.2","(83)","Amusement center","·","","·","2 Fourth Parklands Ave","Closed","· Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBl7kWUBZS_RXbxNrlTTMmXcljQYiflEGL8w0j4gyrYM1dootRBQeUe5RM0rWRk38SBe7hA1z1nG0xINZsJ2XUA7rY9AxG624EQva7gDQ_67CaENPacvyZsWFSGvdh6Sq9BXs=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""There is iced skating and plenty of kids","activities",".""","","","","","","",""
"https://www.google.com/maps/place/GMC+Place+-+Kitengela/data=!4m7!3m6!1s0x182fa172ab0211fd:0x2079877f693d9ecb!8m2!3d-1.5195454!4d36.946915!16s%2Fg%2F11h4wpp3w4!19sChIJ_RECq3KhLxgRy549aX-HeSA?authuser=0&hl=en&rclk=1","GMC Place - Kitengela","4.3","(1,715)","Children's amusement center","·","","","","Open","· Closes 11 PM","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKJThl1q1b8Y23q-RP3Niw3qmm6GZfkFqi8QI8OpX4sQNpySDtIbYjjtry4m6uiyi_cYnNiqCmmreFWN-KY1TOF5ACTl6sl9FKjQxKWf-VOVLwzZ0kykIucvQ4R48z0m0d5TrI=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The food was superb, facilities clean and variety of children","activities",".""","","","","","","",""
